Date,Day,Notes
7/4/25,Friday,Independence Day
8/13/25,Wednesday,Professional Duty Days for New Teachers
8/14/25,Thursday,Professional Duty Days for New Teachers
8/15/25,Friday,Professional Duty Days for New Teachers
8/18/25,Monday,Professional Duty Days for All Teachers
8/19/25,Tuesday,Professional Duty Days for All Teachers
8/20/25,Wednesday,Professional Duty Days for All Teachers
8/21/25,Thursday,Professional Duty Days for All Teachers
8/22/25,Friday,Professional Duty Days for All Teachers
8/25/25,Monday,Student Orientation Day
8/26/25,Tuesday,First Day of School for All Students
9/1/25,Monday,Labor Day
9/12/25,Friday,Teacher Planning Half-Day
9/23/25,Tuesday,Rosh Hashanah / Professional Development
10/2/25,Thursday,Yom Kippur
10/17/25,Friday,Professional Development
10/18/25,Saturday,Diwali (begins)
10/23/25,Thursday,Diwali (ends)
10/31/25,Friday,End of First Quarter / Grading & Reporting Day Q1
11/11/25,Tuesday,Parent-Teacher Conferences
11/26/25,Wednesday,Thanksgiving Break
11/27/25,Thursday,Thanksgiving Break
11/28/25,Friday,Thanksgiving Break
12/19/25,Friday,Teacher Planning Day
12/22/25,Monday,Winter Break & Christmas Holiday
12/23/25,Tuesday,Winter Break & Christmas Holiday
12/24/25,Wednesday,Winter Break & Christmas Holiday
12/25/25,Thursday,Winter Break & Christmas Holiday
12/26/25,Friday,Winter Break & Christmas Holiday
12/29/25,Monday,Winter Break & Christmas Holiday
12/30/25,Tuesday,Winter Break & Christmas Holiday
12/31/25,Wednesday,Winter Break & Christmas Holiday
1/1/26,Thursday,New Year's Day
1/2/26,Friday,Winter Break
1/19/26,Monday,Martin Luther King Jr. Day
1/26/26,Monday,End of Second Quarter / Grading & Reporting Day Q2
2/13/26,Friday,Teacher Planning Day
2/16/26,Monday,Presidents' Day
2/18/26,Wednesday,First Day of Ramadan
3/18/26,Wednesday,Last Day of Ramadan
3/20/26,Friday,Eid al-Fitr / Professional Development
3/27/26,Friday,End of Third Quarter / Grading & Reporting Day Q3
3/30/26,Monday,Spring Break
3/31/26,Tuesday,Spring Break
4/1/26,Wednesday,Spring Break / Passover (begins)
4/2/26,Thursday,Spring Break
4/3/26,Friday,Spring Break / Easter Holiday
4/6/26,Monday,Easter Holiday
4/9/26,Thursday,Passover (ends)
4/22/26,Wednesday,Teacher Planning Day
5/8/26,Friday,Last Day for High School Seniors
5/25/26,Monday,Memorial Day
5/27/26,Wednesday,Eid al-Adha
6/12/26,Friday,Last Day for Students / End of Fourth Quarter
6/15/26,Monday,Potential Inclement Weather Make-up Day
6/16/26,Tuesday,Last Day for Teachers / Potential Inclement Weather Make-up Day
6/17/26,Wednesday,Potential Inclement Weather Make-up Day
6/19/26,Friday,Juneteenth